Ruta;Nombre;Shader;Categoria;Uso;Especial;Avisos;Texturas
Assets/Art/World/boss_of_war/materials/Standard/wall_stone.mat;wall_stone;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Others/HealthItem/Materials/Material.mat;Material;Standard;Built-in de Unity (Standard);Sin uso detectado;render queue 3000, keyword de alpha activo, Mode = Fade/Transparent;Shader built-in de Unity — revisar si necesita migrarse | Especial (transparente/agua) — dejar para el final (render queue 3000, keyword de alpha activo, Mode = Fade/Transparent);"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Others/HealthItem/Materials/health-01.mat;health-01;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Others/HealthItem/Materials/health-02.mat;health-02;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/blockIcon.mat;blockIcon;Standard;Built-in de Unity (Standard);Sin uso detectado;render queue 3000, keyword de alpha activo, Mode = Fade/Transparent;Shader built-in de Unity — revisar si necesita migrarse | Especial (transparente/agua) — dejar para el final (render queue 3000, keyword de alpha activo, Mode = Fade/Transparent);"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/frameborder_r.mat;frameborder_r;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/greenEmit.mat;greenEmit;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/melee_statuePlate.mat;melee_statuePlate;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/redEmit.mat;redEmit;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/Poison_v.mat;Poison_v;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/carbon.mat;carbon;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/carbon2.mat;carbon2;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/ladder_chromo.mat;ladder_chromo;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_gray 1.mat;proto_gray 1;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_gray.mat;proto_gray;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_green.mat;proto_green;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_orange.mat;proto_orange;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=OK; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_red.mat;proto_red;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/statue_blue.mat;statue_blue;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/statue_red.mat;statue_red;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/vgrenades.mat;vgrenades;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/vjumpMultiplier.mat;vjumpMultiplier;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/vpoison-old.mat;vpoison-old;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/vspike-old.mat;vspike-old;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
