Ruta;ShaderAnterior;Albedo;Normal;Emission;Advertencias
Assets/VFX/100BestEffectPack/Standard Assets/Effects/TessellationShaders/Materials/TesselatedBumpSpecular.mat;Legacy Shaders/Bumped Specular;;_BumpMap;;Sin Albedo de origen — revisar a mano
Assets/VFX/100BestEffectPack/Texture&Material/Other Texture&Mateiral/Tile Texture.mat;Legacy Shaders/Diffuse;_MainTex;;;
Assets/Art/Characters/Enemies/Imp Demon Cute Series/Cute series demo assets/Robot Ground.mat;Standard;_MainTex;;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Characters/Invector@V-Bot 2.0/Material/Custom/Body.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Characters/Invector@V-Bot 2.0/Material/Custom/Joints_Inside.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Characters/Invector@V-Bot 2.0/Material/Custom/Joints_Outside.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Characters/Invector@V-Bot 2.0/Material/Custom/Members_Metal.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Characters/Invector@V-Bot 2.0/Material/Custom/Members_Plastic.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Characters/Invector@V-Bot 2.0/Material/Custom/Rubber.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Characters/Invector@V-Bot 2.0/Material/Custom/V.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/LocomotionBanner.mat;Standard;;;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/MeleeBanner.mat;Standard;_MainTex;;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/ShooterBanner.mat;Standard;_MainTex;;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/frameborder_b.mat;Standard;;_BumpMap;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/basicTextures/Materials/locomotion_statuePlate.mat;Standard;;_BumpMap;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/door_blue.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/door_green.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/door_red.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/ladder_Metal.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_blue.mat;Standard;_MainTex;_BumpMap;;
